City,Lat,Lng,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Manaure,11.7751,-72.4445,26.14,26.14,76,0,7.69,CO,1613268490
Hilo,19.7297,-155.09,20.58,27.0,65,75,4.63,US,1613268208
Saint-Philippe,-21.3585,55.7679,21.77,25.0,83,0,6.69,RE,1613268490
Havre-St-Pierre,50.2334,-63.5986,-12.0,-12.0,61,1,2.06,CA,1613268490
Upernavik,72.7868,-56.1549,-14.85,-14.85,94,100,1.79,GL,1613268491
Oranjestad,12.524,-70.027,27.0,27.0,78,20,8.23,AW,1613268266
Fortuna,40.5982,-124.1573,9.52,10.56,87,40,3.6,US,1613268491
East London,-33.0153,27.9116,24.81,24.81,84,91,5.31,ZA,1613268491
Jamestown,42.097,-79.2353,-5.71,-5.0,100,90,2.57,US,1613268391
Albany,42.6001,-73.9662,-7.24,-6.11,38,100,1.14,US,1613268406
Busselton,-33.65,115.3333,25.56,25.56,51,0,0.89,AU,1613268492
Lebu,-37.6167,-73.65,13.93,13.93,79,0,7.72,CL,1613268493
Hermanus,-34.4187,19.2345,15.56,15.56,94,0,2.34,ZA,1613268493
Padang,-0.9492,100.3543,28.0,28.0,78,20,1.03,ID,1613268493
Chui,-33.6971,-53.4616,20.92,20.92,93,87,3.47,UY,1613268494
Lagoa,39.05,-27.9833,13.64,13.64,69,38,14.25,PT,1613268494
Hong Kong,22.2855,114.1577,19.09,20.0,78,7,2.06,HK,1613268275
Langxiang,46.95,128.8833,-12.83,-12.83,83,42,1.51,CN,1613268494
Hithadhoo,-0.6,73.0833,28.12,28.12,74,94,4.03,MV,1613268495
Alyangula,-13.8483,136.4192,30.0,30.0,79,40,4.12,AU,1613268495
Cape Town,-33.9258,18.4232,19.83,20.56,94,40,3.09,ZA,1613268438
Ushuaia,-54.8,-68.3,5.0,5.0,87,20,3.09,AR,1613268495
Hamilton,39.1834,-84.5333,-4.17,-3.0,74,90,4.12,US,1613268496
Bonaventure,48.0457,-65.4926,-11.0,-11.0,67,0,4.12,CA,1613268496
Butaritari,3.0707,172.7902,27.38,27.38,77,100,5.14,KI,1613268497
Atuona,-9.8,-139.0333,26.34,26.34,78,1,7.03,PF,1613268497
Punta Arenas,-53.15,-70.9167,6.83,7.0,76,75,1.54,CL,1613268497
Tiksi,71.6872,128.8694,-26.33,-26.33,89,100,3.62,RU,1613268497
Kaitangata,-46.2817,169.8464,18.89,18.89,65,100,1.34,NZ,1613268498
Bonavista,48.6499,-53.1147,-5.75,-3.89,73,99,4.63,CA,1613268498
Kakonko,-3.2828,30.9642,17.02,17.02,92,100,1.36,TZ,1613268499
Yangi Marg`ilon,40.4272,71.7189,3.0,3.0,75,0,3.09,UZ,1613268499
Redlands,34.0556,-117.1825,11.09,13.33,67,40,2.57,US,1613268499
Selje,62.0459,5.351,-2.19,-1.67,51,0,3.96,NO,1613268499
Acapulco de Juárez,16.8634,-99.8901,24.0,24.0,73,1,2.06,MX,1613268432
Vila Franca do Campo,37.7167,-25.4333,13.94,14.0,72,20,10.29,PT,1613268500
Richards Bay,-28.783,32.0377,23.91,23.91,95,100,1.25,ZA,1613268500
Moree,-29.4667,149.85,31.0,31.0,37,90,3.6,AU,1613268500
Usinsk,65.9939,57.5281,-30.36,-30.36,87,3,4.59,RU,1613268501
Wrexham,53.0,-3.0,0.36,1.67,76,100,8.05,GB,1613268501
Banjarmasin,-3.3244,114.591,25.0,25.0,94,40,4.12,ID,1613268501
Qaqortoq,60.7167,-46.0333,5.0,5.0,42,75,1.54,GL,1613268501
Guarapari,-20.6667,-40.4975,25.28,25.56,83,0,2.57,BR,1613268502
Graaff-Reinet,-32.2522,24.5308,21.11,21.11,91,98,0.58,ZA,1613268502
Tura,25.5198,90.2201,19.83,19.83,40,0,1.18,IN,1613268502
Saint Paul Harbor,57.79,-152.4072,2.63,2.63,86,100,13.01,US,1613268502
Puyo,-1.4667,-77.9833,20.66,20.66,84,98,1.03,EC,1613268503
Lugovoy,42.9472,72.7644,1.9,1.9,82,1,1.4,KZ,1613268503
Margate,51.3813,1.3862,0.4,0.56,46,100,3.58,GB,1613268504
Saskylakh,71.9167,114.0833,-34.98,-34.98,77,40,1.56,RU,1613268504
Hobart,-42.8794,147.3294,21.5,23.33,55,20,5.66,AU,1613268504
Sion,46.2291,7.3594,-2.7,-2.22,80,20,2.57,CH,1613268505
Vidim,56.4088,103.1106,-23.07,-23.07,89,100,2.16,RU,1613268505
Henties Bay,-22.116,14.2845,19.28,19.28,91,61,2.13,NA,1613268505
San Isidro,-12.1167,-77.05,22.12,22.22,78,0,7.2,PE,1613268387
Ust-Tsilma,65.441,52.1498,-27.81,-27.81,88,61,1.57,RU,1613268506
Ilulissat,69.2167,-51.1,-11.0,-11.0,85,90,7.72,GL,1613268506
Sola,-13.8833,167.55,27.12,27.12,83,100,6.25,VU,1613268506
Pangnirtung,66.1451,-65.7125,-30.79,-30.79,80,87,0.81,CA,1613268507
Clyde River,70.4692,-68.5914,-21.0,-21.0,92,99,4.63,CA,1613268326
Jesús del Monte,19.1081,-99.9944,8.0,8.0,34,1,2.57,MX,1613268507
Ponta do Sol,32.6667,-17.1,10.66,12.22,60,0,0.89,PT,1613268508
Kasane,-17.8167,25.15,19.27,19.27,98,100,1.28,BW,1613268508
Torbay,47.6666,-52.7314,-3.88,-3.33,74,90,5.14,CA,1613268311
Lüderitz,-26.6481,15.1594,18.08,18.08,83,0,3.95,NA,1613268508
Dangara,29.6799,75.8931,12.41,12.41,44,0,0.74,IN,1613268509
Conceição do Araguaia,-8.2578,-49.2647,23.6,23.6,97,100,1.47,BR,1613268509
Krasnaya Poyma,55.0014,39.08,-24.44,-24.44,56,92,2.03,RU,1613268510
Severobaykal'sk,55.65,109.3167,-21.45,-21.45,88,100,1.1,RU,1613268510
Cervo,43.6702,-7.4101,12.21,12.21,80,77,3.14,ES,1613268510
Port Alfred,-33.5906,26.891,22.78,22.78,94,56,3.22,ZA,1613268510
Vaini,-21.2,-175.2,30.0,30.0,74,20,4.12,TO,1613268511
Esperance,-33.8667,121.9,20.0,20.0,68,50,4.63,AU,1613268511
Jalu,29.0331,21.5482,11.37,11.37,45,0,2.24,LY,1613268511
Airai,-8.9266,125.4092,22.21,22.21,78,100,1.67,TL,1613268512
Viedma,-40.8135,-62.9967,21.67,21.67,84,100,6.93,AR,1613268386
Kiama,-34.6833,150.8667,22.35,23.33,60,75,6.17,AU,1613268512
Timaru,-44.4,171.25,21.67,21.67,48,100,3.13,NZ,1613268512
Dolisie,-4.1997,12.6739,21.87,21.87,97,100,0.86,CG,1613268513
Pisco,-13.7,-76.2167,20.81,21.0,83,0,8.75,PE,1613268513
Ankpa,7.3706,7.6253,23.58,23.58,83,0,3.23,NG,1613268513
Santa Fe,-31.6333,-60.7,23.04,23.89,85,43,0.89,AR,1613268267
Vernon,50.2581,-119.2691,-7.27,-6.67,62,100,0.51,CA,1613268258
Bairiki Village,1.3292,172.9752,25.0,25.0,94,90,1.54,KI,1613268514
Palu,-0.8917,119.8707,28.0,28.0,69,89,2.35,ID,1613268514
Kangaatsiaq,68.3065,-53.4641,-14.38,-14.38,92,100,7.72,GL,1613268514
Tuatapere,-46.1333,167.6833,13.96,13.96,89,100,2.54,NZ,1613268515
Fort-Shevchenko,44.5086,50.263,2.51,2.51,75,98,8.53,KZ,1613268515
Oodweyne,9.4092,45.064,15.63,15.63,33,0,1.95,SO,1613268515
Roald,62.5833,6.1333,-4.56,-2.78,63,0,7.2,NO,1613268515
Longyearbyen,78.2186,15.6401,-14.0,-14.0,66,75,1.54,SJ,1613268516
San Quintín,30.4833,-115.95,14.12,14.12,76,100,6.39,MX,1613268516
Paphos,34.7667,32.4167,9.0,10.0,87,17,4.12,CY,1613268516
Montecristo,8.2971,-74.4733,25.47,25.47,77,4,0.84,CO,1613268516
Lata,40.1629,-8.3327,9.67,11.11,98,100,1.17,PT,1613268517
Zhigansk,66.7697,123.3711,-25.15,-25.15,88,100,6.11,RU,1613268517
Torrington,41.8007,-73.1212,-4.54,-3.33,53,100,2.24,US,1613268517
Diamantino,-14.4086,-56.4461,22.67,22.67,92,96,2.44,BR,1613268470
Yellowknife,62.456,-114.3525,-22.88,-22.78,84,1,3.09,CA,1613268518
Trairi,-3.2778,-39.2689,26.79,26.79,82,51,4.46,BR,1613268518
Wodonga,-36.1167,146.8833,25.45,27.78,50,0,2.06,AU,1613268518
Acaraú,-2.8856,-40.12,26.76,26.76,84,100,5.84,BR,1613268518
Fort Nelson,58.8053,-122.7002,-20.0,-20.0,71,1,1.54,CA,1613268519
Chapais,49.7834,-74.8492,-17.0,-17.0,78,90,1.54,CA,1613268519
Riviere-au-Renard,48.9957,-64.3971,-10.0,-10.0,73,90,4.12,CA,1613268519
Sitka,57.0531,-135.33,2.0,2.0,38,1,3.6,US,1613268519
Samarai,-10.6167,150.6667,28.64,28.64,67,100,1.17,PG,1613268520
Xiongzhou,25.1167,114.3,18.74,18.74,61,0,0.18,CN,1613268520
Cabo San Lucas,22.8909,-109.9124,18.42,20.0,77,1,4.12,MX,1613268520
Mandera,3.9366,41.867,22.77,22.77,71,0,4.57,KE,1613268520
Saint-Pierre,-21.3393,55.4781,22.3,25.0,83,0,6.69,RE,1613268521
Gimli,50.6336,-96.9907,-26.0,-26.0,53,71,2.06,CA,1613268521
Yar-Sale,66.8333,70.8333,-33.75,-33.75,85,30,1.8,RU,1613268521
Klaksvík,62.2266,-6.589,3.0,3.0,87,90,19.03,FO,1613268522
Naze,28.3667,129.4833,21.0,21.0,88,75,7.2,JP,1613268522
Kétou,7.3633,2.5998,26.78,26.78,79,0,2.19,BJ,1613268242
Banda Aceh,5.5577,95.3222,27.79,27.79,73,10,2.19,ID,1613268522
Los Llanos de Aridane,28.6585,-17.9182,12.96,15.0,82,0,4.12,ES,1613268523
Agüimes,27.9054,-15.4461,16.62,17.22,72,20,6.69,ES,1613268523
Aksu,41.1231,80.2644,2.96,2.96,71,100,3.77,CN,1613268523
Mormugao,15.4,73.8,21.0,21.0,88,1,1.03,IN,1613268523
Tonekābon,36.8163,50.8738,10.0,10.0,100,90,1.03,IR,1613268524
Linqing,36.8456,115.7117,13.23,13.23,75,55,2.56,CN,1613268308
Saint George,37.1041,-113.5841,9.78,10.56,57,1,6.69,US,1613268524
Alofi,-19.0595,-169.9187,31.0,31.0,66,12,3.6,NU,1613268525
Bud,39.447,-86.1758,-7.24,-6.67,86,99,4.34,US,1613268525
Rypefjord,70.6333,23.6667,-4.0,-4.0,80,75,3.6,NO,1613268525
Srednekolymsk,67.45,153.6833,-26.42,-26.42,85,100,4.18,RU,1613268526
Morón,-34.6534,-58.6198,21.55,22.22,94,40,1.03,AR,1613268526
Norman Wells,65.282,-126.8329,-22.0,-22.0,77,1,2.06,CA,1613268526
Vostok,46.4856,135.8833,-5.57,-5.57,96,100,3.85,RU,1613268526
Meulaboh,4.1363,96.1285,27.67,27.67,72,60,1.89,ID,1613268527
Marzuq,14.4,46.4667,13.0,13.0,59,30,0.47,YE,1613268527
Kokopo,-4.352,152.2633,29.09,29.09,71,97,5.22,PG,1613268527
Prainha,-1.8,-53.48,24.04,24.04,95,99,1.46,BR,1613268527
Dosso,13.049,3.1937,23.69,23.69,17,0,3.85,NE,1613268528
Ribeira Grande,38.5167,-28.7,14.13,14.13,68,75,13.53,PT,1613268528
Nikolskoye,59.7035,30.7861,-9.93,-8.0,86,75,3.0,RU,1613268528
Muncie,40.1934,-85.3864,-5.12,-4.0,74,90,2.06,US,1613268366
Nelson Bay,-32.7167,152.15,22.33,23.33,64,90,9.26,AU,1613268529
Umluj,25.0213,37.2685,23.76,23.76,56,0,2.76,SA,1613268529
Pangkalanbuun,-2.6833,111.6167,28.14,28.14,79,100,1.48,ID,1613268307
Mahébourg,-20.4081,57.7,26.0,26.0,83,40,5.66,MU,1613268529
Souillac,-20.5167,57.5167,26.0,26.0,83,40,5.66,MU,1613268530
Bodden Town,19.2833,-81.25,26.2,27.0,74,20,4.12,KY,1613268530
Pevek,69.7008,170.3133,-25.4,-25.4,88,91,1.56,RU,1613268530
Kerman,30.2832,57.0788,1.0,1.0,27,0,2.06,IR,1613268530
St. George's,12.0564,-61.7485,26.0,26.0,78,20,6.17,GD,1613268531
Endicott,42.0984,-76.0494,-3.77,-2.78,42,90,2.57,US,1613268435
Hofn,64.2539,-15.2082,3.23,3.23,94,100,10.35,IS,1613268531
Vila Velha,-20.3297,-40.2925,25.29,25.56,83,0,2.57,BR,1613268495
Chernyshevskiy,63.0128,112.4714,-35.87,-35.87,85,9,0.93,RU,1613268532
Sulangan,11.1373,123.7228,27.38,27.38,78,100,5.04,PH,1613268532
Prince Rupert,54.3161,-130.3201,2.62,3.0,25,1,2.57,CA,1613268471
Ciudad Bolivar,8.1222,-63.5497,27.23,27.23,62,52,7.37,VE,1613268532
Saint-Augustin,51.226,-58.6502,-16.02,-16.02,90,81,4.92,CA,1613268533
Port Augusta,-32.5,137.7667,25.67,27.22,60,0,7.2,AU,1613268533
Bathsheba,13.2167,-59.5167,26.0,26.0,69,20,9.26,BB,1613268533
Grand Gaube,-20.0064,57.6608,24.44,24.44,82,4,2.24,MU,1613268534
San Cristobal,7.7669,-72.225,20.03,20.03,73,78,0.53,VE,1613268450
Hays,30.0502,-98.0336,-2.56,-1.67,94,100,5.39,US,1613268534
Iqaluit,63.7506,-68.5145,-23.0,-23.0,64,20,1.54,CA,1613268534
San Patricio,28.017,-97.5169,1.15,2.0,86,90,5.14,US,1613268535
Santa Cruz de la Sierra,-17.8,-63.1667,25.0,25.0,83,75,1.54,BO,1613268265
Béboto,8.2668,16.939,23.1,23.1,20,0,1.78,TD,1613268535
Progreso,21.2833,-89.6667,24.44,24.44,79,0,1.89,MX,1613268535
Uruaçu,-14.5247,-49.1408,21.6,21.6,96,100,1.08,BR,1613268536
Port Blair,11.6667,92.75,27.0,27.0,78,90,3.09,IN,1613268536
Fairmount,43.0473,-76.2385,-7.34,-6.11,53,90,2.06,US,1613268537
Zavetnoye,47.1194,43.8903,-3.24,-3.24,91,100,10.84,RU,1613268537
Bindura,-17.3019,31.3306,17.78,17.78,93,76,3.13,ZW,1613268537
Xichang,27.8964,102.2634,11.87,11.87,61,18,0.72,CN,1613268537
Lompoc,34.6391,-120.4579,10.0,12.0,76,1,7.72,US,1613268451
Ballarat,-37.5662,143.8496,18.46,20.0,56,0,0.89,AU,1613268538
Tasiilaq,65.6145,-37.6368,0.27,0.27,92,100,11.47,GL,1613268538
Azul,-36.777,-59.8585,18.78,18.78,94,100,2.87,AR,1613268538
Kitimat,54.0524,-128.6534,-3.0,-3.0,43,40,5.66,CA,1613268520
Kruisfontein,-34.0033,24.7314,22.22,22.22,95,98,0.45,ZA,1613268539
Singaparna,-7.3515,108.111,27.7,27.7,72,33,0.56,ID,1613268539
Yeppoon,-23.1333,150.7333,32.0,32.0,43,40,4.63,AU,1613268539
Invermere,50.5167,-116.0354,-16.67,-16.67,79,86,0.82,CA,1613268540
Dvinskoy,62.1535,45.1175,-19.0,-19.0,88,100,4.66,RU,1613268540
Oistins,13.0667,-59.5333,26.0,26.0,69,20,9.26,BB,1613268540
Fuerte Olimpo,-21.0415,-57.8738,24.7,24.7,75,5,2.17,PY,1613268540
Baykit,61.67,96.37,-28.05,-28.05,83,100,0.75,RU,1613268541
Port Lincoln,-34.7333,135.8667,18.01,18.01,66,91,4.96,AU,1613268541
Maceió,-9.6658,-35.7353,24.0,24.0,94,40,1.54,BR,1613268541
Grindavik,63.8424,-22.4338,3.0,3.0,87,75,9.26,IS,1613268542
Abu Samrah,35.3029,37.1841,9.55,9.55,71,0,1.18,SY,1613268542
Pandan,14.0453,124.1694,26.02,26.02,74,100,4.23,PH,1613268542
Kendari,-3.945,122.4989,29.69,29.69,65,95,2.26,ID,1613268542
Mazyr,52.0495,29.2456,-11.19,-11.19,95,95,6.03,BY,1613268543
Ishigaki,24.3448,124.1572,23.0,23.0,73,40,4.63,JP,1613268495
Codrington,-38.2667,141.9667,16.68,16.68,65,100,4.58,AU,1613268543
Oddur,4.1213,43.8894,17.96,17.96,88,0,6.85,SO,1613268543
Dingle,10.9995,122.6711,27.23,27.23,82,100,4.66,PH,1613268544
Vardø,70.3705,31.1107,-2.51,-2.51,86,100,8.95,NO,1613268544
Havelock,34.8791,-76.9013,5.1,5.56,100,90,5.66,US,1613268544
White Rock,49.0164,-122.8026,-1.31,-0.56,86,99,1.54,CA,1613268345
Quelimane,-17.8786,36.8883,23.82,23.82,93,25,2.17,MZ,1613268545
Porto Santo,33.072,-16.3415,13.0,13.0,88,20,1.54,PT,1613268545
Olafsvik,64.8945,-23.7142,3.96,3.96,74,100,10.98,IS,1613268545
Cabedelo,-6.9811,-34.8339,25.0,25.0,100,20,2.57,BR,1613268546
Neiafu,-18.65,-173.9833,29.0,29.0,74,40,3.6,TO,1613268546
Hasaki,35.7333,140.8333,12.57,14.0,71,75,0.51,JP,1613268546
Golden,39.7555,-105.2211,-16.99,-15.56,85,90,3.6,US,1613268342
Bengkulu,-3.8004,102.2655,28.05,28.05,70,100,1.77,ID,1613268396
Ulaanbaatar,47.9077,106.8832,-22.0,-22.0,77,40,0.72,MN,1613268547
Imbituba,-28.24,-48.6703,24.0,24.0,88,20,1.03,BR,1613268495
Nome,64.5011,-165.4064,-5.0,-5.0,58,40,2.57,US,1613268548
Arraial do Cabo,-22.9661,-42.0278,24.6,24.6,87,100,8.19,BR,1613268548
Baijiantan,45.6333,85.1833,-10.99,-10.99,92,2,1.83,CN,1613268548
Thinadhoo,0.5333,72.9333,27.97,27.97,72,34,3.35,MV,1613268549
Tarko-Sale,64.9225,77.785,-37.53,-37.53,82,1,2.36,RU,1613268549
Khatanga,71.9667,102.5,-35.76,-35.76,83,32,3.09,RU,1613268549
Port Elizabeth,-33.918,25.5701,23.0,23.0,94,0,3.09,ZA,1613268549
Itaituba,-4.2761,-55.9836,26.0,26.0,94,75,2.57,BR,1613268550
Bata,1.8639,9.7658,26.08,26.08,87,100,3.4,GQ,1613268550
Mahibadhoo,3.7833,72.9667,27.23,27.23,69,44,3.78,MV,1613268550
Statesboro,32.4488,-81.7832,5.86,7.0,93,90,4.42,US,1613268451
Harsūd,22.1,76.7333,17.43,17.43,31,0,1.34,IN,1613268377
Jishou,28.3167,109.7167,16.54,16.54,65,0,0.31,CN,1613268551
Nemuro,43.3236,145.575,3.0,3.0,56,0,1.54,JP,1613268551
Montague,42.5356,-72.5351,-3.22,-3.0,36,90,1.54,US,1613268552
Jardim,-21.4803,-56.1381,22.41,22.41,88,0,1.53,BR,1613268552
Sørland,67.667,12.6934,0.11,0.11,89,100,4.1,NO,1613268552
Inyonga,-6.7167,32.0667,17.88,17.88,96,100,1.18,TZ,1613268552
Dawei,14.0833,98.2,24.93,24.93,48,100,1.02,MM,1613268553
Makakilo City,21.3469,-158.0858,26.77,28.0,54,75,2.57,US,1613268553
Wattegama,6.7989,81.4808,23.0,23.0,100,40,0.51,LK,1613268553
High Level,58.5169,-117.136,-20.0,-20.0,77,1,2.57,CA,1613268486
Bharatpur,27.2167,77.4833,13.8,13.8,46,0,1.05,IN,1613268554
Zhezkazgan,47.8043,67.7144,-10.44,-10.44,93,34,4.26,KZ,1613268554
Gull Lake,50.1001,-108.4847,-26.0,-26.0,76,1,1.81,CA,1613268554
Allāpalli,19.4167,80.0667,18.5,18.5,58,0,1.32,IN,1613268554
Guerrero Negro,27.9769,-114.0611,14.74,14.74,74,100,8.16,MX,1613268555
Aswān,24.0934,32.907,16.4,16.4,35,0,4.2,EG,1613268555
Amahai,-3.3333,128.9167,25.5,25.5,87,100,0.93,ID,1613268555
Locri,38.2414,16.2623,6.71,11.11,81,75,7.2,IT,1613268555
Lubao,14.9167,120.55,26.0,27.0,83,75,2.06,PH,1613268556
Valença,-13.3703,-39.0731,21.76,21.76,89,31,0.78,BR,1613268556
Rincon,32.296,-81.2354,5.97,7.0,93,90,2.57,US,1613268556
Krasnokamensk,50.0979,118.0369,-23.54,-23.54,85,0,1.76,RU,1613268272
Capitão Poço,-1.7464,-47.0594,23.54,23.54,96,100,1.57,BR,1613268557
Jaraguá,-15.7569,-49.3344,20.0,20.0,94,75,2.57,BR,1613268557
Tazovsky,67.4667,78.7,-39.43,-39.43,82,3,1.9,RU,1613268557
Marabu,4.4148,114.0089,25.78,26.0,89,40,0.51,MY,1613268558
Vestmannaeyjar,63.4427,-20.2734,5.96,5.96,86,100,21.44,IS,1613268558
Porto San Giorgio,43.1827,13.7934,-0.01,2.22,10,11,0.89,IT,1613268558
Ossora,59.2353,163.0719,-21.19,-21.19,85,0,2.49,RU,1613268558
Russellville,35.2784,-93.1338,-5.56,-5.56,70,0,3.0,US,1613268559
Asău,46.4333,26.4,-7.22,-7.22,45,21,3.17,RO,1613268559
Castro,-24.7911,-50.0119,17.16,17.16,94,0,1.67,BR,1613268559
Makīnsk,52.6292,70.4169,-6.75,-6.75,98,100,4.41,KZ,1613268559
Raychikhinsk,49.7838,129.4121,-18.49,-18.49,89,0,3.77,RU,1613268560
Río Gallegos,-51.6226,-69.2181,7.0,7.0,45,0,4.12,AR,1613268560
Umm Kaddadah,13.6017,26.6876,19.53,19.53,25,0,7.02,SD,1613268560
Vodnyy,63.5046,53.4095,-25.05,-25.05,88,100,4.48,RU,1613268560
Damaturu,11.747,11.9608,20.97,20.97,23,0,1.65,NG,1613268561
Port Hardy,50.6996,-127.4199,1.0,1.0,86,90,7.72,CA,1613268562
Pemangkat,1.1667,108.9667,26.8,26.8,75,63,5.1,ID,1613268459
Flinders,-34.5833,150.8552,22.71,24.44,60,75,6.17,AU,1613268562
Lima,-12.0432,-77.0282,22.11,22.22,78,0,7.2,PE,1613268195
Soyo,-6.1349,12.3689,26.31,26.31,81,67,2.34,AO,1613268563
Tommot,58.9564,126.2925,-23.89,-23.89,86,100,3.91,RU,1613268563
Waipawa,-41.4122,175.5153,18.87,20.0,56,100,8.23,NZ,1613268564
Coquimbo,-29.9533,-71.3436,17.0,17.0,88,40,2.57,CL,1613268564
Várzea da Palma,-17.5981,-44.7308,21.03,21.03,92,100,1.05,BR,1613268564
Ahipara,-35.1667,173.1667,23.41,23.41,73,100,4.06,NZ,1613268564
Uauá,-9.8414,-39.4817,23.4,23.4,68,0,6.95,BR,1613268565
Port-Gentil,-0.7193,8.7815,26.9,26.9,83,100,4.53,GA,1613268565
Nishihara,26.1842,127.7558,22.41,23.0,83,75,3.6,JP,1613268565
Elverum,60.8819,11.5623,-13.04,-13.04,86,0,1.29,NO,1613268566
São Filipe,14.8961,-24.4956,21.18,21.18,75,0,4.52,CV,1613268566
Brae,60.3964,-1.353,4.0,4.0,70,90,15.43,GB,1613268566
Jussara,-23.6214,-52.4694,26.0,26.0,65,20,0.52,BR,1613268566
Dudinka,69.4058,86.1778,-34.16,-34.16,84,98,1.17,RU,1613268567
Broken Hill,-31.95,141.4333,23.0,23.0,35,0,5.14,AU,1613268567
Bilma,18.6853,12.9164,19.9,19.9,23,0,2.63,NE,1613268567
San Joaquin,37.9333,-121.3011,13.93,15.0,51,1,7.72,US,1613268568
Trelew,-43.249,-65.3051,22.59,22.59,65,0,5.02,AR,1613268563
Laguna,38.421,-121.4238,14.58,15.0,44,75,2.06,US,1613268506
Kununurra,-15.7667,128.7333,30.0,30.0,79,40,4.12,AU,1613268518
Tolstoy-Yurt,43.4444,45.7722,-3.0,-3.0,86,0,3.0,RU,1613268569
Ikungi,-5.1333,34.7667,15.64,15.64,96,100,0.83,TZ,1613268570
Bagdarin,54.4333,113.6,-25.17,-25.17,78,14,1.11,RU,1613268570
